Head,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothPower
0,0,0,0,0,1,63
0,0,0,0,1,1,63
0,0,0,1,0,1,63
0,0,0,1,1,1,63
0,0,1,0,0,1,63
0,0,1,0,1,1,63
0,0,1,1,0,1,63
0,0,1,1,1,1,63
0,1,0,0,0,1,63
0,1,0,0,1,1,63
0,1,0,1,0,1,63
0,1,0,1,1,1,63
0,1,1,0,0,1,63
0,1,1,0,1,1,63
0,1,1,1,0,1,63
0,1,1,1,1,1,63
1,0,0,0,0,-1,43
1,0,0,0,1,-1,43
1,0,0,1,0,-1,43
1,0,0,1,1,-1,43
1,0,1,0,0,-1,43
1,0,1,0,1,-1,43
1,0,1,1,0,-1,43
1,0,1,1,1,-1,43
1,1,0,0,0,-1,43
1,1,0,0,1,-1,43
1,1,0,1,0,-1,43
1,1,0,1,1,-1,43
1,1,1,0,0,-1,43
1,1,1,0,1,-1,43
1,1,1,1,0,-1,43
1,1,1,1,1,-1,43
0,-1,-1,-1,-1,0,63
